City,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score
BARABOO,3.0,5.0,4.0,5.0,3.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,9.0,5.0,10.0,9.0,10.0,10.0,7.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,81.0
BARBERTON,10.0,5.0,4.0,5.0,7.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,1.0,6.0,5.0,7.0,9.0,5.0,10.0,9.0,10.0,10.0,8.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,82.0
BARSTOW,6.0,5.0,5.0,5.0,6.0,5.0,7.0,8.0,10.0,8.0,0.0,9.0,9.0,6.0,9.0,7.0,7.0,5.0,9.0,9.0,10.0,10.0,7.0,5.0,3.0,5.0,10.0,10.0,10.0,10.0,71.0
BARTLESVILLE,0.0,5.0,6.0,5.0,3.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,6.0,10.0,7.0,5.0,5.0,9.0,9.0,10.0,10.0,9.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,74.0
BARTOW,2.0,5.0,8.0,5.0,5.0,5.0,8.0,8.0,7.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,8.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,70.0
BASTROP,5.5,5.0,1.5,5.0,4.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,7.5,6.0,8.5,7.0,5.0,5.0,10.0,9.0,10.0,10.0,1.5,5.0,4.5,5.0,10.0,10.0,10.0,10.0,62.5
BATAVIA,0.0,5.0,6.0,5.0,3.0,5.0,10.0,8.0,10.0,8.0,0.0,9.0,7.0,6.0,8.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,69.0
BATON ROUGE,10.0,5.0,6.62,5.0,8.62,5.0,9.12,8.0,9.75,8.0,10.0,9.0,4.5,6.0,6.62,7.0,4.25,5.0,9.62,9.0,10.0,10.0,4.5,5.0,4.62,5.0,10.0,10.0,10.0,10.0,68.88
BATTLE CREEK,9.0,5.0,4.5,5.0,7.0,5.0,8.5,8.0,9.5,8.0,10.0,9.0,5.0,6.0,7.0,7.0,6.0,5.0,8.5,9.0,9.0,10.0,4.5,5.0,7.0,5.0,10.0,10.0,10.0,10.0,71.0
BATTLE GROUND,6.0,5.0,8.0,5.0,7.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,72.0
BAXLEY,6.0,5.0,8.0,5.0,7.0,5.0,10.0,8.0,7.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,8.0,5.0,9.0,9.0,10.0,10.0,6.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,74.0
BAY CITY,7.0,5.0,7.0,5.0,7.0,5.0,10.0,8.0,8.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,8.0,5.0,8.0,9.0,10.0,10.0,5.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,69.0
BAY SHORE,5.0,5.0,8.0,5.0,6.0,5.0,8.0,8.0,7.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,1.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,3.0,5.0,10.0,10.0,10.0,10.0,54.0
BAY SPRINGS,7.0,5.0,2.0,5.0,5.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,3.0,6.0,6.0,7.0,2.0,5.0,10.0,9.0,10.0,10.0,0.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,50.0
BAYONNE,10.0,5.0,10.0,5.0,10.0,5.0,8.0,8.0,7.0,8.0,0.0,9.0,5.0,6.0,7.0,7.0,9.0,5.0,9.0,9.0,10.0,10.0,1.0,5.0,2.0,5.0,10.0,10.0,10.0,10.0,69.0
BAYSIDE,8.0,5.0,5.0,5.0,7.0,5.0,9.0,8.0,10.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,2.0,5.0,10.0,9.0,10.0,10.0,1.0,5.0,1.0,5.0,10.0,10.0,10.0,10.0,57.0
